"Target URL:","https://twitter.com/15013822wer","","","","","","","","","","",""
"Search Query:","from:15013822wer include:retweets include:nativeretweets","","","","","","","","","","",""
"穿上了回力.","@15013822wer","","","","","","","","","","",""
"Tweet range:","<unspecified> (unknown) ~ <unspecified> (unknown)","","","","","","","","","","",""
"Image : on  /  GIF : on  /  Video : on  /  No media : off  /  include RTs : on","","","","","","","","","","","",""
"Tweet date","Action date","Display name","Username","Tweet URL","Media type","Media URL","Saved filename","Remarks","Tweet content","Replies","Retweets","Likes"
"2021/05/19 09:49:57","","穿上了回力.","@15013822wer","https://twitter.com/15013822wer/status/1394953462236934146","Image","https://pbs.twimg.com/media/E1vexoOVgAcCDDY?format=jpg&name=orig","15013822wer-1394953462236934146-20210519_094957-img1.jpg","","这周末有一起去惠州海边的吗？单或者夫妻情侣. https://t.co/3YNZxozEjK",12,4,45
"2021/05/16 12:19:07","","穿上了回力.","@15013822wer","https://twitter.com/15013822wer/status/1393903838399107076","Image","https://pbs.twimg.com/media/E1gkAHkVEAM4hsw?format=jpg&name=orig","15013822wer-1393903838399107076-20210516_121907-img1.jpg","","买了泳衣下礼拜去海边玩👙 https://t.co/kKdXfTu3sU",7,9,71
"2021/05/16 12:19:07","","穿上了回力.","@15013822wer","https://twitter.com/15013822wer/status/1393903838399107076","Image","https://pbs.twimg.com/media/E1gkAHlVUAQwsMu?format=jpg&name=orig","15013822wer-1393903838399107076-20210516_121907-img2.jpg","","买了泳衣下礼拜去海边玩👙 https://t.co/kKdXfTu3sU",7,9,71
"2021/05/16 12:19:07","","穿上了回力.","@15013822wer","https://twitter.com/15013822wer/status/1393903838399107076","Image","https://pbs.twimg.com/media/E1gkAHjUcAU6MS8?format=jpg&name=orig","15013822wer-1393903838399107076-20210516_121907-img3.jpg","","买了泳衣下礼拜去海边玩👙 https://t.co/kKdXfTu3sU",7,9,71
"2021/05/16 12:19:07","","穿上了回力.","@15013822wer","https://twitter.com/15013822wer/status/1393903838399107076","Image","https://pbs.twimg.com/media/E1gkAHjVcAIz5we?format=jpg&name=orig","15013822wer-1393903838399107076-20210516_121907-img4.jpg","","买了泳衣下礼拜去海边玩👙 https://t.co/kKdXfTu3sU",7,9,71
"2021/05/06 15:38:36","","穿上了回力.","@15013822wer","https://twitter.com/15013822wer/status/1390330163783561221","Image","https://pbs.twimg.com/media/E0tx49RVkAExi0D?format=jpg&name=orig","15013822wer-1390330163783561221-20210506_153836-img1.jpg","","哈～今天约了两个单一起聚聚 感觉还不错～第一次拍活动照～ https://t.co/lWJdlEXVb7",5,1,30
"2021/04/29 13:20:23","","穿上了回力.","@15013822wer","https://twitter.com/15013822wer/status/1387758664589713412","Image","https://pbs.twimg.com/media/E0JPJQtXEAYayGE?format=jpg&name=orig","15013822wer-1387758664589713412-20210429_132023-img1.jpg","","➕联系方式的请先看清楚 不合适的别加. 谢谢 https://t.co/9cb5X710AJ",1,"",15
"2021/03/30 12:03:21","","穿上了回力.","@15013822wer","https://twitter.com/15013822wer/status/1376867640212262913","Image","https://pbs.twimg.com/media/Exud0KEUcAEkawB?format=jpg&name=orig","15013822wer-1376867640212262913-20210330_120321-img1.jpg","","私聊请看过来、 https://t.co/ov9XpaqPWK",2,"",9
"2021/03/17 17:55:33","","穿上了回力.","@15013822wer","https://twitter.com/15013822wer/status/1372245233686081536","Video","https://video.twimg.com/ext_tw_video/1372245171107065860/pu/vid/720x1280/UvWBq6hBTSoL4dFy.mp4?tag=12","15013822wer-1372245233686081536-20210317_175533-vid1.mp4","","作为一个美食博主，也没发过啥好吃的.. https://t.co/oJcdOfLHOk",3,3,34
"2021/03/15 15:41:20","","穿上了回力.","@15013822wer","https://twitter.com/15013822wer/status/1371486681409286146","Image","https://pbs.twimg.com/media/Ewh_3PFU8AEHVXJ?format=jpg&name=orig","15013822wer-1371486681409286146-20210315_154120-img1.jpg","","有男m女m？我老婆说想试试.. https://t.co/kmXsC2bKHf",12,4,98
